=== Letter Frequency Analysis ===
Total letters: 514152

а: 49731 (9,67%)
о: 48849 (9,50%)
и: 42891 (8,34%)
е: 42569 (8,28%)
н: 36224 (7,05%)
р: 31754 (6,18%)
т: 31215 (6,07%)
к: 26613 (5,18%)
с: 26071 (5,07%)
л: 21950 (4,27%)
в: 19554 (3,80%)
п: 16545 (3,22%)
д: 12341 (2,40%)
м: 12294 (2,39%)
у: 10960 (2,13%)
ь: 10915 (2,12%)
з: 8491 (1,65%)
б: 8402 (1,63%)
г: 7419 (1,44%)
ч: 7059 (1,37%)
я: 6993 (1,36%)
ц: 5813 (1,13%)
ы: 5200 (1,01%)
ш: 4316 (0,84%)
ж: 3628 (0,71%)
ф: 3182 (0,62%)
х: 3140 (0,61%)
щ: 2832 (0,55%)
й: 2372 (0,46%)
ё: 2093 (0,41%)
ю: 1426 (0,28%)
э: 1124 (0,22%)
ъ: 186 (0,04%)
